id,name,username,location,description,followers_count,friends_count,listed_count,date_joined,favourites_count,time_zone,verified,statuses_count,language,current_following,follow_request_sent
1434455057655808002,fofão,fsouzaaxd,"Timóteo, Brasil - VDA",Sertanejo 🎶 @Cruzeiro 🦊 @Cristiano 🐐 Animes 🥷,709,563,1,Sun Sep 05 09:56:59 +0000 2021,16062,,False,10809,,False,False
1501127182550462465,dila,dooIpin,ke surga,my acc @goodIucq got suspend please (don't reroll) —✧ ꒰ i'm still waiting for good news ꒱ #cutetesty ♡,131,1019,0,Tue Mar 08 09:26:47 +0000 2022,1274,,False,3284,,False,False
1429280495318142977,Georgene,Georgen29482786,,Crypto Investor,0,0,0,Sun Aug 22 03:13:33 +0000 2021,0,,False,3,,False,False
1239579191986851843,Bam T Agba💥,BamT54581253,Nigeria,".. Interest /Law /politics /boxing enthusiast/ 👑👑


😊",164,209,27,Mon Mar 16 15:48:28 +0000 2020,380,,False,122,,False,False
1493406667773464576,Beard,Beard26382726,,,14,121,0,Tue Feb 15 02:08:01 +0000 2022,715,,False,553,,False,False
206567430,Jan,janchamba,,"Easy going, living in the farmstay, a paradise of mine.",38,631,8,Sat Oct 23 06:54:25 +0000 2010,1239,,False,2259,,False,False
1372362452696850435,ayy🦋 freetag,pastiibigwiin,,usn adalah doa,298,4585,7,Thu Mar 18 01:41:34 +0000 2021,5893,,False,22988,,False,False
1409810967442063360,Ai Resti A,mamaketjeh2,,"@Mamaketjeh sedang ditangguhkan, klo menang tolong jangan di reroll ya",81,1622,3,Tue Jun 29 09:48:50 +0000 2021,2161,,False,4514,,False,False
957399982813855744,v_v (freetag),v_v__31,,Hunter acc/free tag $QOM,189,1514,0,Sat Jan 27 23:48:38 +0000 2018,4028,,False,3487,,False,False
1321441396687998977,Kristina Scott,Kristin39488547,,"Southside galz
@cclub_io @mamiNFT_
#NFT #CRYPTO",91,1745,10,Wed Oct 28 13:19:58 +0000 2020,2660,,False,4110,,False,False
242023720,@LeoAlves,euleooalves,Macaíba/RN,#Dogecoin 🐶 (BEP20) 0x6067da103e2d28824a970c6f0ce6ec49767145ee #Binance #SUPERFAMILY,235,1791,8,Sun Jan 23 19:12:04 +0000 2011,18043,,False,5843,,False,False
1487043555726176259,Diamond Heart 💎,the69manwolinn,,|#bitcoin | NFT and crypto enthusiast. Proud  holder  Graphic Designer by day | Artist & Collector by night | 3D ~ Everything #CloneX #clonefollowclone,1489,2086,3,Fri Jan 28 12:43:15 +0000 2022,1868,,False,590,,False,False
999828655093174274,waroeng_gambar,waroeng_gambar,Malang,"hanya koleksi karya kang gambar digital, mengutamakan tema lokal dengan style anime & korea",37,78,0,Fri May 25 01:45:02 +0000 2018,342,,False,313,,False,False
532707717,KaioKent,KaiokeNFT,,Please return Godjira #232 back to me.,573,1733,7,Wed Mar 21 22:46:39 +0000 2012,6088,,False,8458,,False,False
1487386901506101250,Gabriella Lendon 🍤 👾 🚊,GabriellaLendon,,,164,3,0,Sat Jan 29 11:27:27 +0000 2022,0,,False,9216,,False,False
1498388082701312008,Mariel,Mariel29392064,,,1,0,0,Mon Feb 28 20:02:27 +0000 2022,0,,False,1379,,False,False
